red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::1kSG-naIgqk,1kSG-naIgqk,video,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,0,0.0,0.0,0.0,0.0028620758795720952,13,1,Vicepresidencia Guate,Entertainment,0,0,0,0.0,0,0,0,48
proyeccion_videos,video::1w9faaYjhyU,1w9faaYjhyU,video,Fundación de la República de Guatemala 21 marzo 1847,0,0.0,0.0,0.0,0.0028620758795720952,14,1,El profe de Historia Gt,People & Blogs,0,0,0,0.0,0,0,0,31697
proyeccion_videos,video::1y61Kb9uSbg,1y61Kb9uSbg,video,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,0,0.0,0.0,0.0,0.0028620758795720952,15,1,Ministerio de Gobernación,News & Politics,0,0,0,0.0,0,0,0,471
proyeccion_videos,video::1yHN9Ci7pXs,1yHN9Ci7pXs,video,Municipalidad de Guatemala informa,0,0.0,0.0,0.0,0.0028620758795720952,16,1,Municipalidad de Guatemala,People & Blogs,0,0,0,0.0,0,0,0,1617
proyeccion_videos,video::2iqOSL9YguA,2iqOSL9YguA,video,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,0,0.0,0.0,0.0,0.0028620758795720952,17,1,Guatevisión,Entertainment,0,0,0,0.0,0,0,0,5181
proyeccion_videos,video::2n31FhKmELI,2n31FhKmELI,video,TRÁFICO EN GUATEMALA,0,0.0,0.0,0.0,0.0028620758795720952,18,1,Fralis Maxiel Martinez,People & Blogs,0,0,0,0.0,0,0,0,512
proyeccion_videos,video::2p23yPpu6aQ,2p23yPpu6aQ,video,#Conred,0,0.0,0.0,0.0,0.0028620758795720952,19,1,Noticias-FA-Gt,People & Blogs,0,0,0,0.0,0,0,0,164
proyeccion_videos,video::3-jKER3zqcA,3-jKER3zqcA,video,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,0,0.0,0.0,0.0,0.0028620758795720952,20,1,audioschileros,People & Blogs,0,0,0,0.0,0,0,0,70811
proyeccion_videos,video::3LAwISMokIg,3LAwISMokIg,video,MUNICIPALIDAD DE GUATEMALA 17/12/2025,0,0.0,0.0,0.0,0.0028620758795720952,21,1,Concejales de Oposición - Muni Guate,People & Blogs,0,0,0,0.0,0,0,0,294
proyeccion_videos,video::3Nfp9h5avBI,3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",0,0.0,0.0,0.0,0.0028620758795720952,22,1,Noticiero Guatevisión 13 Hrs.,News & Politics,2,2,0,0.0,0,0,0,573
proyeccion_videos,video::3P2OUk7aGmc,3P2OUk7aGmc,video,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,0,0.0,0.0,0.0,0.0028620758795720952,23,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,2838
proyeccion_videos,video::3S3KygWSjAQ,3S3KygWSjAQ,video,Himno de la Policía Nacional Civil de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,24,1,PNCdeGuatemala,News & Politics,0,0,0,0.0,0,0,0,53021
